hashtag,music_track,views,likes,comments,shares,engagement_rate,upload_time,cluster
#fyp,Woodshop groove,17787,1258,167,119,0.094732,2025-06-05 14:00:00,0
#fyp,Goofy bass,14474,1080,110,98,0.094722,2025-08-15 20:00:00,0
#esports,Paint stroke ASMR,58921,4142,449,500,0.09472,2025-05-16 19:00:00,0
#makeup,City stroll,53442,3726,461,393,0.09472,2025-03-09 20:00:00,0
#fyp,Ticker bed,145728,10767,1255,1091,0.094718,2025-08-01 23:00:00,0
#kuliner,Kasih Tau Mama,167086,12144,1624,1266,0.094712,2025-02-14 21:00:00,0
#viral,Indie brush,11836,846,124,77,0.094711,2025-01-24 23:00:00,0
#fyp,City stroll,186203,13753,1428,1573,0.094708,2025-01-24 18:00:00,0
#fyp,Subtle groove,29528,2059,248,160,0.09469,2025-07-11 19:00:00,0
#ootd,Stadium chant,30036,2248,289,165,0.094686,2025-07-31 17:00:00,0
#fashion,Paint stroke ASMR,47368,3250,373,356,0.094684,2025-08-24 00:00:00,0
#kuliner,Bark hop,35867,2519,270,221,0.094683,2025-03-28 02:00:00,0
#beauty,Glitch hop,44971,3221,455,369,0.094683,2025-01-25 22:00:00,0
#kuliner,Clap beat,46071,3465,242,430,0.09468,2025-05-03 05:00:00,0
#motivation,Calm piano,56570,4011,494,520,0.094679,2025-07-19 20:00:00,0
#makeup,Sizzle ASMR,147736,10816,1149,1239,0.094676,2025-08-08 23:00:00,0
#workout,Golden,21294,1533,154,129,0.094675,2025-08-15 09:00:00,0
#streamer,Trap beat,12992,873,146,66,0.094674,2025-08-06 16:00:00,0
#foodie,Indie brush,31466,2224,281,242,0.094674,2025-02-04 14:00:00,0
#coding,Runway loop,76015,5144,840,621,0.094666,2025-04-29 13:00:00,0
#streetfood,Sizzle ASMR,6391,432,66,56,0.094664,2025-08-11 20:00:00,0
#fyp,8bit loop,487734,36185,3089,4497,0.09466,2025-06-16 19:00:00,0
#fyp,Stadium chant,26907,1906,230,184,0.094659,2025-01-01 08:00:00,0
#lifehacks,Street vibe,165298,11188,1528,1546,0.094659,2025-06-13 14:00:00,0
#recipe,Ticker bed,35180,2434,268,269,0.094656,2025-08-15 21:00:00,0
#fyp,Kitchen groove,226236,16352,1293,1276,0.094653,2025-02-13 10:00:00,0
#makananviral,Engine rev,94282,7318,469,691,0.094652,2025-01-15 10:00:00,0
#recipe,Soft glam loop,7248,528,81,37,0.094647,2025-06-13 19:00:00,0
#esports,Pica Pica,625877,45166,5470,5639,0.094645,2025-01-03 20:00:00,0
#viral,Calon Mantu Terbaik Mamamu,51520,3421,267,268,0.094643,2025-04-26 02:00:00,0
#tech,Clean corporate bed,65642,4402,474,550,0.094635,2025-02-12 17:00:00,0
#fyp,Dora Dora,293066,21367,2978,1967,0.094624,2025-05-08 16:00:00,0
#umkm,Runway loop,104075,7375,603,564,0.094624,2025-02-01 08:00:00,0
#tech,Turbo whoosh,120852,8906,649,772,0.09462,2025-01-17 19:00:00,0
#fashion,City stroll,136556,10500,738,1036,0.094613,2025-02-28 17:00:00,0
#kuliner,Indie brush,17408,1169,152,139,0.094612,2025-08-20 20:00:00,0
#viral,Stadium chant,171609,11861,1002,895,0.094605,2025-05-31 12:00:00,0
#esports,Microscope hum,54864,4002,321,421,0.094598,2025-02-05 19:00:00,0
#recipe,Highway synth,57360,4277,459,419,0.094596,2025-04-22 00:00:00,0
#umkm,Soft focus,128915,9089,839,656,0.094574,2025-06-26 22:00:00,0
#makeup,Bark hop,22596,1657,109,139,0.094574,2025-05-02 21:00:00,0
#ootd,Chill guitar,597786,43800,6066,3842,0.094572,2025-07-08 05:00:00,0
#viral,Stadium chant,46325,3305,443,307,0.094571,2025-01-10 10:00:00,0
#kuliner,Ambient glow,127597,8918,685,1095,0.094571,2025-04-30 07:00:00,0
#recipe,Street vibe,102253,6784,808,505,0.094569,2025-04-07 22:00:00,0
#workout,Ticker tick,7899,575,46,39,0.094569,2025-06-30 14:00:00,0
#viral,Bark hop,688942,47155,6916,4108,0.094567,2025-07-27 19:00:00,0
#streetfood,Ngga Dulu,26468,2066,177,135,0.094567,2025-06-22 15:00:00,0
#fyp,Engine rev,197580,15107,1603,1040,0.094564,2025-07-18 17:00:00,0
#outfit,Golden,18929,1329,148,110,0.094564,2025-01-17 16:00:00,0
#makeup,Boss fight theme,2041,145,18,16,0.094561,2025-04-18 20:00:00,0
#learnontiktok,Indie brush,182690,14016,1396,1000,0.094559,2025-02-21 19:00:00,0
#outfit,Adrenaline synth,105081,7474,1021,821,0.094556,2025-03-31 14:00:00,0
#streamer,Backpack beat,236991,17110,1171,1323,0.094556,2025-08-19 16:00:00,0
#outfit,Chill guitar,94656,6588,807,596,0.094553,2025-02-13 14:00:00,0
#fyp,LoFi makeup beat,122219,8630,1163,586,0.094552,2025-02-14 22:00:00,0
#fashion,Stadium chant,11983,917,101,59,0.094551,2025-07-07 19:00:00,0
#wanderlust,Paint stroke ASMR,52628,3895,335,332,0.09455,2025-01-21 18:00:00,0
#fyp,Kitchen groove,99175,6925,974,775,0.09455,2025-07-26 21:00:00,0
#fyp,Engine rev,84305,6260,883,430,0.09455,2025-08-28 22:00:00,0
#fyp,Tape measure click,51201,3480,536,275,0.094549,2025-06-29 19:00:00,0
#recipe,Bark hop,86304,5742,607,529,0.094549,2025-06-10 20:00:00,0
#fyp,Aesthetic synth,47499,3710,249,308,0.094549,2025-06-10 16:00:00,0
#fyp,About You,196312,13593,1096,992,0.094548,2025-02-14 18:00:00,0
#fyp,Clap beat,16616,1163,153,109,0.094547,2025-08-19 20:00:00,0
#kuliner,Calon Mantu Terbaik Mamamu,70189,5329,348,371,0.094545,2025-05-27 23:00:00,0
#dogtok,Adrenaline synth,34302,2597,216,216,0.094543,2025-08-22 20:00:00,0
#viral,Gallery pad,125044,8403,690,1159,0.094543,2025-01-28 20:00:00,0
#cattok,Ngga Dulu,27121,1925,256,178,0.094539,2025-05-13 18:00:00,0
#streetfood,Stadium chant,20944,1508,204,100,0.094538,2025-07-26 20:00:00,0
#viral,Boss fight theme,37838,2884,281,202,0.094535,2025-03-21 20:00:00,0
#fyp,Ngga Dulu,13954,1007,122,124,0.094525,2025-06-24 18:00:00,0
#dogtok,Trap beat,447316,31984,4445,2585,0.094522,2025-02-14 19:00:00,0
#gameclip,Ticker bed,271665,19498,2373,2018,0.094521,2025-05-10 11:00:00,0
#fashion,Dora Dora,135135,9336,804,697,0.094505,2025-01-14 03:00:00,0
#coding,Lab beeps,18063,1248,91,134,0.094503,2025-05-23 16:00:00,0
#fyp,Pop groove,118305,7954,1007,734,0.094502,2025-08-06 09:00:00,0
#pets,LoFi makeup beat,22444,1680,110,180,0.094502,2025-06-22 21:00:00,0
#fyp,Clap beat,26435,1863,189,149,0.094496,2025-03-22 22:00:00,0
#workout,Kitchen groove,61815,4143,638,537,0.094492,2025-08-13 18:00:00,0
#workout,Backpack beat,187471,12439,1789,1331,0.094489,2025-07-14 23:00:00,0
#learnontiktok,Sizzle ASMR,68072,5048,523,540,0.094488,2025-06-06 23:00:00,0
#fashion,Calm piano,87551,6294,590,620,0.094482,2025-08-09 13:00:00,0
#dogtok,Sunset pad,28747,1933,157,269,0.094479,2025-06-27 23:00:00,0
#tech,Alamak,87323,6195,659,557,0.094477,2025-08-29 16:00:00,0
#makeup,Woodshop groove,27266,2105,185,158,0.094477,2025-03-22 20:00:00,0
#beauty,Ambient glow,225953,15144,1209,1151,0.094475,2025-06-06 18:00:00,0
#serunyabelajar,mia oktavia,456100,42900,47,143,0.09447489585617189,2023-09-25 13:07:57,0
#viral,Arabic pop,392808,27973,2531,2853,0.094474,2025-02-07 23:00:00,0
#foodie,Microscope hum,14364,1114,68,93,0.094472,2025-08-23 23:00:00,0
#fyp,Microscope hum,40935,3029,229,199,0.094467,2025-02-03 21:00:00,0
#fyp,Highway synth,88306,6197,927,801,0.094467,2025-07-13 17:00:00,0
#recipe,Lab beeps,22019,1535,126,122,0.094464,2025-05-09 19:00:00,0
#makeup,Ambient pulse,71011,5073,718,582,0.094464,2025-01-25 09:00:00,0
#fashion,Hype trap,11550,860,69,78,0.094459,2025-08-04 23:00:00,0
#fyp,Chill guitar,105045,7239,858,505,0.094445,2025-06-27 00:00:00,0
#fyp,Circuit synth,63678,4676,615,385,0.094444,2025-04-24 16:00:00,0
#foodie,LoFi makeup beat,25211,1868,186,172,0.094443,2025-03-07 15:00:00,0
#ootd,Goofy bass,62356,4375,576,517,0.094442,2025-03-07 20:00:00,0
#tech,Cosmic pad,1265704,93062,7622,8372,0.094439,2025-05-31 23:00:00,0
#learnontiktok,Indie brush,29842,2097,214,216,0.094431,2025-03-21 10:00:00,0
#kuliner,Turbo whoosh,251882,16973,2296,2268,0.094429,2025-07-11 19:00:00,0
#cattok,Stadium chant,92177,6440,447,754,0.094427,2025-05-15 06:00:00,0
#pets,Indie brush,33815,2507,266,261,0.094426,2025-05-13 09:00:00,0
#fyp,Kasih Tau Mama,82849,6414,448,570,0.094425,2025-03-15 19:00:00,0
#dogtok,Calon Mantu Terbaik Mamamu,353904,25509,3475,2763,0.094424,2025-03-28 01:00:00,0
#cattok,Street vibe,77187,5862,505,557,0.09442,2025-03-14 03:00:00,0
#fashion,Ticker bed,22549,1551,161,107,0.094417,2025-08-06 21:00:00,0
#umkm,Clap beat,37707,2701,317,208,0.094412,2025-05-23 20:00:00,0
#fyp,Subtle groove,174493,12398,1235,1563,0.094411,2025-07-31 21:00:00,0
#makananviral,Whistle loop,39531,2733,317,354,0.094407,2025-08-04 18:00:00,0
#makeup,Ambient glow,77995,5388,552,509,0.094403,2025-02-02 10:00:00,0
#makeup,Kitchen groove,51439,3579,525,342,0.094403,2025-02-21 21:00:00,0
#fyp,Bark hop,107012,8009,745,552,0.094401,2025-02-15 20:00:00,0
#viral,About You,69865,5333,459,474,0.094396,2025-03-24 16:00:00,0
#fashion,Neutral piano,77865,5460,744,572,0.094394,2025-05-11 19:00:00,0
#recipe,Microscope hum,25214,1847,234,156,0.094392,2025-03-28 22:00:00,0
#fashion,Backpack beat,33997,2637,204,208,0.094391,2025-07-08 14:00:00,0
#fashion,Dora Dora,45556,3267,325,318,0.094389,2025-07-06 21:00:00,0
#fyp,LoFi makeup beat,195745,14110,1747,1696,0.094388,2025-05-02 00:00:00,0
#esports,Clean corporate bed,24982,1883,201,157,0.094388,2025-06-05 10:00:00,0
#umkm,Calm piano,24295,1654,267,212,0.094382,2025-06-26 15:00:00,0
#umkm,Chalkboard beat,220350,16403,1233,1595,0.094382,2025-03-14 19:00:00,0
#fyp,Aesthetic synth,56695,4240,510,290,0.094382,2025-01-24 23:00:00,0
#fyp,Chalkboard beat,191669,13647,1553,1367,0.094371,2025-04-25 19:00:00,0
#fyp,Pop groove,12737,974,61,107,0.094371,2025-06-13 19:00:00,0
#fyp,Golden,17411,1218,195,120,0.094366,2025-07-09 18:00:00,0
#umkm,Quirky jingle,41287,2942,421,339,0.094364,2025-02-05 10:00:00,0
#fyp,Ambient glow,23696,1621,152,191,0.094362,2025-04-05 12:00:00,0
#fyp,Chill guitar,89541,6390,726,811,0.094359,2025-06-03 14:00:00,0
#fyp,About You,50923,3475,285,353,0.094358,2025-06-20 15:00:00,0
#skincare,Highway synth,495691,38259,2784,3280,0.094355,2025-01-21 23:00:00,0
#fashion,Cardio loop,88021,6514,843,533,0.094352,2025-05-11 21:00:00,0
#workout,Circuit synth,62714,4379,681,562,0.094349,2025-02-14 23:00:00,0
#dogtok,Lab beeps,73928,5571,470,537,0.094349,2025-03-31 15:00:00,0
#fyp,Kasih Tau Mama,126706,9312,844,737,0.094344,2025-02-08 08:00:00,0
#umkm,Gallery pad,13059,964,97,110,0.094341,2025-03-16 19:00:00,0
#viral,Indie brush,18508,1367,111,120,0.094338,2025-08-01 20:00:00,0
#viral,Gallery pad,71287,5075,699,565,0.094337,2025-06-27 00:00:00,0
#fyp,Indie brush,340976,23301,2058,3024,0.094335,2025-08-26 22:00:00,0
#fashion,Bark hop,391215,29758,2490,2812,0.094334,2025-07-01 14:00:00,0
#fyp,Tape measure click,20714,1415,118,142,0.094332,2025-01-13 06:00:00,0
#fyp,Kasih Tau Mama,189713,13610,1838,937,0.094327,2025-02-09 20:00:00,0
#esports,Soft focus,48555,3442,530,248,0.094326,2025-01-16 20:00:00,0
#skincare,Engine rev,172147,12070,888,899,0.094326,2025-04-22 12:00:00,0
#esports,Bintang 5,32854,2438,212,294,0.094326,2025-03-30 10:00:00,0
#umkm,Sunset pad,285649,19903,2445,2483,0.094326,2025-04-11 18:00:00,0
#umkm,Sunset pad,70631,4800,503,542,0.094321,2025-01-31 21:00:00,0
#fashion,Woodshop groove,87352,6072,972,783,0.09432,2025-08-30 22:00:00,0
#skincare,Ambient glow,33567,2235,234,252,0.094319,2025-04-01 22:00:00,0
#fashion,Waves & bells,58654,4081,453,332,0.094316,2025-06-10 19:00:00,0
#ootd,Stadium chant,39909,2949,205,333,0.094315,2025-05-30 21:00:00,0
#fyp,Subtle groove,154964,11337,1520,1028,0.094312,2025-08-11 14:00:00,0
#fashion,Backpack beat,362562,27298,2231,2956,0.094312,2025-05-03 23:00:00,0
#fyp,Trap beat,260517,19017,2578,1746,0.094309,2025-03-28 22:00:00,0
#kuliner,Adrenaline synth,194770,14586,1109,1755,0.094306,2025-01-24 15:00:00,0
#viral,Ticker bed,121756,8411,1018,1047,0.094303,2025-02-25 15:00:00,0
#fyp,Subtle groove,19395,1332,143,114,0.094303,2025-01-14 12:00:00,0
#motivation,Backpack beat,358631,23932,2780,2335,0.0943,2025-06-13 15:00:00,0
#fyp,City stroll,37425,2545,382,265,0.094295,2025-08-09 18:00:00,0
#recipe,Sizzle ASMR,47628,3688,245,334,0.094293,2025-06-17 21:00:00,0
#fyp,Adrenaline synth,206846,15666,1248,1022,0.094292,2025-06-28 16:00:00,0
#makeup,Gallery pad,117096,7976,945,989,0.09429,2025-06-05 15:00:00,0
#fashion,Soft glam loop,30619,2174,316,253,0.094288,2025-01-31 18:00:00,0
#umkm,Ticker bed,35052,2449,307,323,0.094288,2025-04-23 21:00:00,0
#fyp,Chalkboard beat,32656,2286,254,270,0.094286,2025-01-22 17:00:00,0
#kuliner,Woodshop groove,37599,2798,293,277,0.094284,2025-04-04 16:00:00,0
#fyp,Ambient glow,71117,4783,435,337,0.094281,2025-01-20 06:00:00,0
#fashion,Waves & bells,13821,922,127,92,0.094277,2025-05-16 19:00:00,0
#workout,Trap beat,56920,4202,543,353,0.094273,2025-04-04 19:00:00,0
#fyp,Subtle groove,141457,9941,837,753,0.094269,2025-03-09 09:00:00,0
#fashion,Tape measure click,26987,1855,258,188,0.094268,2025-06-13 17:00:00,0
#fyp,About You,42379,3171,386,239,0.094268,2025-02-15 16:00:00,0
#streetfood,Street vibe,29863,2107,312,256,0.094264,2025-06-07 21:00:00,0
#coding,Subtle groove,64565,4624,361,511,0.094262,2025-04-18 14:00:00,0
#fashion,Ngga Dulu,54678,3645,369,491,0.094261,2025-05-30 09:00:00,0
#fashion,Toolbox clack,72322,5474,495,508,0.094259,2025-01-10 13:00:00,0
#makeup,Pop groove,29102,1939,214,255,0.094255,2025-01-09 16:00:00,0
#fashion,Waves & bells,76623,5528,806,527,0.094254,2025-05-13 18:00:00,0
#fyp,Chalkboard beat,45518,3265,285,315,0.094248,2025-08-28 15:00:00,0
#fyp,Ambient pulse,246805,17366,2037,1928,0.094248,2025-06-16 20:00:00,0
#dogtok,Stadium chant,14812,997,79,98,0.094248,2025-07-05 02:00:00,0
#tech,Kasih Tau Mama,24554,1826,201,172,0.094241,2025-06-03 18:00:00,0
#wanderlust,City stroll,31579,2309,211,202,0.09424,2025-07-18 13:00:00,0
#fashion,Arabic pop,47497,3206,236,358,0.094238,2025-07-05 19:00:00,0
#skincare,Bintang 5,103859,7676,810,812,0.094234,2025-04-11 22:00:00,0
#fashion,Lab beeps,34531,2582,318,187,0.094234,2025-07-29 20:00:00,0
#fashion,Clean corporate bed,34871,2470,351,301,0.094233,2025-08-29 14:00:00,0
#umkm,Soft focus,95542,6659,694,592,0.094231,2025-04-11 17:00:00,0
#fyp,Ticker bed,63239,4639,531,491,0.09423,2025-04-10 14:00:00,0
#fashion,Soft focus,34204,2363,382,292,0.094229,2025-01-20 13:00:00,0
#fyp,Sizzle ASMR,57732,4429,302,437,0.094229,2025-07-28 23:00:00,0
#wanderlust,Calon Mantu Terbaik Mamamu,118033,7821,918,936,0.094228,2025-05-22 15:00:00,0
#fyp,Ngga Dulu,38782,2792,386,294,0.094219,2025-03-26 17:00:00,0
#makananviral,Soft focus,38072,2851,244,313,0.094216,2025-06-22 19:00:00,0
#fyp,8bit loop,336596,24603,3307,2217,0.094214,2025-08-29 09:00:00,0
#fyp,Circuit synth,89966,6272,865,593,0.094213,2025-06-18 21:00:00,0
#fashion,Soft focus,11156,854,90,55,0.094209,2025-08-26 20:00:00,0
#fyp,Aesthetic synth,263769,17963,2584,2255,0.094207,2025-08-28 09:00:00,0
#fyp,8bit loop,84272,6243,811,488,0.094207,2025-04-10 01:00:00,0
#umkm,Toolbox clack,16761,1247,155,98,0.094207,2025-02-25 23:00:00,0
#fashion,Ticker bed,395774,27522,2767,2905,0.094205,2025-08-06 21:00:00,0
#makeup,Paint stroke ASMR,121343,8873,1096,891,0.094204,2025-02-17 13:00:00,0
#kuliner,Adrenaline synth,93182,6595,821,441,0.094203,2025-01-21 19:00:00,0
#fyp,Indie brush,197071,13417,1300,1510,0.0942,2025-01-03 22:00:00,0
#viral,Ngga Dulu,57210,4181,551,388,0.094197,2025-05-23 18:00:00,0
#fyp,Cosmic pad,16009,1076,79,126,0.094197,2025-04-20 08:00:00,0
#fyp,Cosmic pad,51191,3843,394,344,0.094196,2025-06-14 12:00:00,0
#fyp,Whistle loop,146420,10543,741,788,0.094195,2025-04-19 19:00:00,0
#motivation,Sizzle ASMR,3080686,233075,23971,15344,0.094192,2025-04-14 14:00:00,2
#ootd,Sizzle ASMR,68032,5041,556,491,0.094191,2025-03-29 17:00:00,0
#dogtok,Clap beat,70401,4905,354,568,0.094189,2025-08-08 15:00:00,0
#coding,Sunset pad,138246,10616,1072,682,0.094187,2025-01-10 08:00:00,0
#fyp,Ticker tick,24845,1689,188,124,0.094184,2025-05-09 16:00:00,0
#viral,Adrenaline synth,78736,6189,385,471,0.094175,2025-08-15 17:00:00,0
#fashion,Engine rev,29840,2146,243,229,0.094169,2025-05-16 19:00:00,0
#skincare,Kasih Tau Mama,32761,2302,272,217,0.094167,2025-08-15 20:00:00,0
#coding,Bark hop,16387,1230,126,78,0.09416,2025-06-13 23:00:00,0
#viral,Blue,24894,1774,273,137,0.094159,2025-04-11 20:00:00,0
#learnontiktok,Runway loop,143017,10638,748,818,0.094157,2025-06-13 23:00:00,0
#viral,Pop groove,61293,4250,379,463,0.094154,2025-05-02 07:00:00,0
#viral,Ngga Dulu,265401,19595,2557,1587,0.094152,2025-03-09 01:00:00,0
#kuliner,Woodshop groove,181256,13677,1365,1170,0.094149,2025-03-18 22:00:00,0
#fyp,Woodshop groove,45801,3154,308,418,0.094146,2025-06-11 20:00:00,0
#skincare,daisies,1200000,107100,1121,4754,0.09414583333333333,2025-08-02 19:37:29,0
#motivation,Lab beeps,16082,1182,123,134,0.094143,2025-02-01 20:00:00,0
#fyp,Toolbox clack,133831,9880,675,747,0.094141,2025-02-23 16:00:00,0
#fashion,Bark hop,7266,545,45,60,0.094137,2025-04-11 14:00:00,0
#fashion,LoFi makeup beat,23891,1618,136,173,0.094136,2025-03-04 11:00:00,0
#umkm,Gallery pad,65271,4398,508,328,0.094131,2025-06-04 16:00:00,0
#gaming,Dora Dora,174524,11798,1733,1183,0.09413,2025-08-03 21:00:00,0
#kuliner,Chill guitar,147031,11015,863,1269,0.094123,2025-05-06 15:00:00,0
#cattok,Engine rev,92880,7169,570,468,0.094121,2025-04-28 18:00:00,0
#fyp,Ambient glow,156959,11438,1612,905,0.09412,2025-05-02 04:00:00,0
#fyp,City stroll,20750,1374,200,184,0.09412,2025-01-31 10:00:00,0
#makananviral,About You,10976,790,112,80,0.094114,2025-01-02 18:00:00,0
#fyp,Chalkboard beat,48347,3385,462,303,0.094111,2025-05-18 20:00:00,0
#kuliner,Bark hop,212680,15607,1570,1838,0.094109,2025-03-16 21:00:00,0
#fashion,Soft focus,19595,1380,181,109,0.094106,2025-08-03 12:00:00,0
#learnontiktok,City stroll,160867,11996,1252,1060,0.094103,2025-06-11 21:00:00,0
#makeup,Calon Mantu Terbaik Mamamu,15579,1158,121,73,0.094101,2025-01-27 23:00:00,0
#recipe,Waves & bells,209535,14346,2306,1694,0.094099,2025-01-30 20:00:00,0
#streamer,Soft focus,102895,7897,554,747,0.094096,2025-04-20 05:00:00,0
#beauty,Kasih Tau Mama,332214,24093,3498,2105,0.094093,2025-01-28 15:00:00,0
#umkm,Drumline,39833,2892,371,298,0.094093,2025-04-19 16:00:00,0
#fyp,Sunset pad,395517,27723,4303,3128,0.094087,2025-07-26 17:00:00,0
#viral,About You,21767,1485,203,168,0.094087,2025-07-10 17:00:00,0
#motivation,Ambient pulse,43526,2998,475,233,0.094082,2025-08-14 16:00:00,0
#workout,Turbo whoosh,230439,15925,2114,1677,0.094073,2025-08-19 21:00:00,0
#fyp,Kasih Tau Mama,70404,5052,346,654,0.094071,2025-07-31 18:00:00,0
#cattok,Clap beat,163907,11518,978,1444,0.094059,2025-02-07 20:00:00,0
#pets,Paint stroke ASMR,29928,2125,262,249,0.094059,2025-05-02 19:00:00,0
#beauty,Paint stroke ASMR,37893,2509,241,241,0.094054,2025-06-27 15:00:00,0
#fyp,Indie brush,37713,2735,222,315,0.094052,2025-06-27 08:00:00,0
#tech,Turbo whoosh,97195,6506,1057,465,0.094048,2025-03-01 15:00:00,0
#fyp,Woodshop groove,41309,2993,450,247,0.094047,2025-03-14 22:00:00,0
#esports,Lab beeps,45743,3347,429,303,0.094047,2025-05-10 08:00:00,0
#fyp,Paint stroke ASMR,22617,1613,194,121,0.094044,2025-06-07 09:00:00,0
#wanderlust,Turbo whoosh,40747,3038,254,349,0.094044,2025-02-13 05:00:00,0
#makananviral,Runway loop,81185,6122,491,608,0.094044,2025-05-16 12:00:00,0
#umkm,Backpack beat,16854,1127,179,133,0.094043,2025-06-04 01:00:00,0
#wanderlust,Woodshop groove,18258,1275,104,139,0.094041,2025-07-05 08:00:00,0
#fyp,Bark hop,119408,9104,956,608,0.094039,2025-04-11 19:00:00,0
#fyp,Sunset pad,54637,3719,287,390,0.094039,2025-06-12 14:00:00,0
#beauty,Soft glam loop,43110,2958,418,327,0.094039,2025-02-19 16:00:00,0
#makeup,About You,56031,4201,272,265,0.094037,2025-04-25 17:00:00,0
#fyp,Glitch hop,37262,2504,390,272,0.094037,2025-08-21 20:00:00,0
#fyp,Calm piano,105076,7257,872,577,0.094037,2025-01-08 18:00:00,0
#viral,City stroll,118629,8840,658,944,0.094033,2025-02-28 02:00:00,0
#streetfood,Subtle groove,56055,3953,598,275,0.094033,2025-02-14 15:00:00,0
#fyp,Circuit synth,135922,9318,1084,782,0.094032,2025-01-24 20:00:00,0
#fashion,Clap beat,85196,6378,467,766,0.09403,2025-07-22 22:00:00,0
#foodie,Hype trap,22642,1667,162,149,0.094029,2025-08-29 23:00:00,0
#dogtok,Dora Dora,10923,723,97,58,0.094022,2025-05-30 18:00:00,0
#makeup,Ngga Dulu,412593,29345,3487,2472,0.094022,2025-07-11 16:00:00,0
#viral,Drumline,67934,5011,460,597,0.094018,2025-07-04 23:00:00,0
#ootd,Ambient pulse,496262,36685,3741,3896,0.094011,2025-02-26 08:00:00,0
#kuliner,Cardio loop,16477,1269,114,89,0.09401,2025-04-19 06:00:00,0
#pets,Ticker bed,14935,1140,70,124,0.094007,2025-06-21 21:00:00,0
#pets,Microscope hum,218136,16059,2017,1405,0.094006,2025-05-03 19:00:00,0
#kuliner,Ticker bed,16095,1197,94,121,0.094004,2025-01-21 23:00:00,0
#outfit,Ngga Dulu,26170,1771,254,174,0.094001,2025-03-01 20:00:00,0
#fyp,Toolbox clack,92287,6213,474,503,0.094,2025-03-06 17:00:00,0
#fashion,Soft glam loop,33969,2523,226,221,0.093997,2025-06-13 18:00:00,0
#makeup,Adrenaline synth,12969,972,73,113,0.093993,2025-03-26 19:00:00,0
#fashion,Chalkboard beat,57271,3859,518,361,0.093992,2025-02-19 11:00:00,0
#wanderlust,Trap beat,185200,13812,1131,1527,0.09399,2025-03-28 16:00:00,0
#wanderlust,Waves & bells,118175,8469,1077,1006,0.093988,2025-07-17 19:00:00,0
#fyp,Ticker tick,27046,2018,206,191,0.093988,2025-08-08 23:00:00,0
#fyp,Ticker tick,78766,5793,538,371,0.093987,2025-03-31 10:00:00,0
#fyp,Pica Pica,71032,5226,527,590,0.093986,2025-03-31 19:00:00,0
#fyp,Bark hop,31218,2281,155,235,0.093984,2025-01-17 06:00:00,0
#recipe,Trap beat,103780,7068,625,499,0.093978,2025-05-02 15:00:00,0
#fashion,Ticker bed,167174,12285,1478,1162,0.093974,2025-06-21 14:00:00,0
#coding,Turbo whoosh,215554,14733,1028,1707,0.093972,2025-05-23 17:00:00,0
#fyp,Hype trap,34747,2475,211,317,0.093965,2025-08-02 00:00:00,0
#recipe,Soft focus,45411,3333,404,317,0.093964,2025-07-13 02:00:00,0
#fashion,Runway loop,7886,580,43,49,0.093964,2025-03-28 19:00:00,0
#kuliner,Pop groove,321922,23968,2564,1603,0.093964,2025-07-11 23:00:00,0
#fyp,Kasih Tau Mama,39409,2767,443,283,0.093963,2025-06-27 18:00:00,0
#wanderlust,8bit loop,96752,6399,898,855,0.093962,2025-04-14 11:00:00,0
#kuliner,Goofy bass,64771,4312,685,498,0.093962,2025-01-30 22:00:00,0
#umkm,Aesthetic synth,235304,17112,2422,1470,0.093959,2025-03-16 03:00:00,0
#gaming,Ambient glow,40860,2975,198,261,0.093955,2025-02-09 20:00:00,0
#fyp,Woodshop groove,50589,3743,373,316,0.093953,2025-06-08 12:00:00,0
#fyp,Kasih Tau Mama,58009,4336,363,479,0.093951,2025-03-22 15:00:00,0
#fyp,Whistle loop,45705,3088,412,218,0.09395,2025-08-08 13:00:00,0
#viral,Chill guitar,78372,6090,370,433,0.093949,2025-06-02 15:00:00,0
#fyp,Microscope hum,9495,703,102,43,0.093944,2025-01-12 19:00:00,0
#recipe,Adrenaline synth,77751,5191,617,377,0.093941,2025-08-24 20:00:00,0
#fyp,Paint stroke ASMR,11880,916,87,58,0.093939,2025-03-07 20:00:00,0
#workout,LoFi makeup beat,58954,4536,346,371,0.093938,2025-05-22 16:00:00,0
#fyp,Cardio loop,50108,3758,350,364,0.093937,2025-07-29 15:00:00,0
#skincare,Ambient glow,6696,520,39,39,0.093937,2025-01-27 08:00:00,0
#wanderlust,Pica Pica,118751,8192,737,564,0.093936,2025-03-02 20:00:00,0
#viral,Backpack beat,42508,2811,220,222,0.093935,2025-05-23 13:00:00,0
#fyp,Aesthetic synth,685542,50137,3311,5600,0.093934,2025-05-12 22:00:00,0
#fyp,Street vibe,45969,3171,453,255,0.093933,2025-04-18 23:00:00,0
#motivation,Ticker tick,52889,3930,456,334,0.093933,2025-01-28 18:00:00,0
#viral,Glitch hop,213849,15274,2060,1749,0.093931,2025-02-13 16:00:00,0
#outfit,Soft glam loop,43959,2976,259,368,0.093928,2025-04-13 21:00:00,0
#viral,Clean corporate bed,110320,8172,927,745,0.093927,2025-01-24 22:00:00,0
#umkm,Runway loop,91223,6408,834,711,0.093924,2025-03-19 12:00:00,0
#viral,Gallery pad,56919,4081,355,380,0.093923,2025-01-05 19:00:00,0
#fyp,queena arrachim,628500,40900,430,17700,0.09392203659506762,2025-06-11 11:15:50,0
